Feature Carried Condition Correlation:
90IX: Total: 119, Poor: 15, Poor %: 12.61%
20  20 94171083: Total: 1, Poor: 1, Poor %: 100.00%
DIETSCHE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
80  80 94041071: Total: 1, Poor: 0, Poor %: 0.00%
80  80 94041078: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033277: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033298: Total: 1, Poor: 0, Poor %: 0.00%
TRUMAN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
51  51 94021049: Total: 1, Poor: 0, Poor %: 0.00%
CR4 BLOOM ST: Total: 1, Poor: 1, Poor %: 100.00%
205 205 94011112: Total: 1, Poor: 1, Poor %: 100.00%
205 205 94011157: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033172: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033178: Total: 1, Poor: 1, Poor %: 100.00%
BURKE HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 11C: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 11D: Total: 1, Poor: 0, Poor %: 0.00%
JONES CROSSING: Total: 1, Poor: 0, Poor %: 0.00%
23  23 94021133: Total: 1, Poor: 0, Poor %: 0.00%
23  23 94021147: Total: 1, Poor: 0, Poor %: 0.00%
23  23 94021151: Total: 1, Poor: 0, Poor %: 0.00%
BROOK STREET: Total: 1, Poor: 1, Poor %: 100.00%
COUNTY ROAD 11A: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 11B: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94033128: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94033161: Total: 1, Poor: 0, Poor %: 0.00%
991W 991W94011004: Total: 1, Poor: 0, Poor %: 0.00%
991W 991W94011006: Total: 1, Poor: 0, Poor %: 0.00%
991W991W94011007: Total: 1, Poor: 0, Poor %: 0.00%
CR 56: Total: 1, Poor: 1, Poor %: 100.00%
LEONARD ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LOFT ROAD: Total: 1, Poor: 1, Poor %: 100.00%
RACE STREET: Total: 1, Poor: 1, Poor %: 100.00%
TANNERY STREET: Total: 1, Poor: 1, Poor %: 100.00%
166 166 94011115: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY RD 35B: Total: 1, Poor: 0, Poor %: 0.00%
CR 52 & CR 33: Total: 1, Poor: 0, Poor %: 0.00%
DUBBENS CROSS RD: Total: 1, Poor: 0, Poor %: 0.00%
HADE HOLLOW ROAD: Total: 1, Poor: 0, Poor %: 0.00%
NORTON CROSS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PINK STREET: Total: 1, Poor: 0, Poor %: 0.00%
166 166 94011007: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033060: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033071: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033403: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033404: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033407: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033412: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94033040: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 35A: Total: 1, Poor: 0, Poor %: 0.00%
BEMIS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PEET ROAD: Total: 1, Poor: 1, Poor %: 100.00%
23  23 94021084: Total: 1, Poor: 0, Poor %: 0.00%
BELLHILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
COLES BRIDGE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
DICK TURNBULL RD: Total: 1, Poor: 0, Poor %: 0.00%
MEYERS MILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MYERS MILLS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
205 205 94011300: Total: 1, Poor: 0, Poor %: 0.00%
23  23 94022105: Total: 1, Poor: 0, Poor %: 0.00%
23  23 94022107: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I94062026: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I94062027: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I94062033: Total: 1, Poor: 0, Poor %: 0.00%
GAS AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
GAULT AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
NEAHWA PLACE: Total: 1, Poor: 0, Poor %: 0.00%
205 205 94011301: Total: 1, Poor: 0, Poor %: 0.00%
23  23 94021185: Total: 1, Poor: 0, Poor %: 0.00%
23  23 94023100: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94031197: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I94061054: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I94061062: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I94062044: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I94063000: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 48A: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94031126: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94031183: Total: 1, Poor: 0, Poor %: 0.00%
991J991J94011001: Total: 1, Poor: 0, Poor %: 0.00%
991J991J94011003: Total: 1, Poor: 0, Poor %: 0.00%
LOWER GREEN STREET: Total: 1, Poor: 0, Poor %: 0.00%
SECORE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
UPPER GREEN STREET: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94031146: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94031156: Total: 1, Poor: 1, Poor %: 100.00%
28  28 94033236: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033247: Total: 1, Poor: 0, Poor %: 0.00%
FORK SHOP ROAD: Total: 1, Poor: 0, Poor %: 0.00%
GOOSE STREET: Total: 1, Poor: 0, Poor %: 0.00%
STONE HOUSE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
80  80 94041011: Total: 1, Poor: 0, Poor %: 0.00%
51  51 94021332: Total: 1, Poor: 0, Poor %: 0.00%
PRITCHARD RD: Total: 1, Poor: 0, Poor %: 0.00%
SAUNDERS GULF RD.: Total: 1, Poor: 0, Poor %: 0.00%
20  20 94151070: Total: 1, Poor: 0, Poor %: 0.00%
BRONNER STREET: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033319: Total: 1, Poor: 0, Poor %: 0.00%
28  28 94033344: Total: 1, Poor: 0, Poor %: 0.00%
ELM ST EXTENSION: Total: 1, Poor: 0, Poor %: 0.00%
165 165 94011001: Total: 1, Poor: 0, Poor %: 0.00%
165 165 94011016: Total: 1, Poor: 0, Poor %: 0.00%
HOOSE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
991H991H94021000: Total: 1, Poor: 0, Poor %: 0.00%
Bartlett Road: Total: 1, Poor: 0, Poor %: 0.00%
DEAN RATHBUN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
GLIMMRGLASS PK RD: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94031002: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94031081: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94031089: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94031099: Total: 1, Poor: 0, Poor %: 0.00%
LOVERS LANE RD: Total: 1, Poor: 0, Poor %: 0.00%
357 357 94011000: Total: 1, Poor: 1, Poor %: 100.00%
7   7 94031047: Total: 1, Poor: 1, Poor %: 100.00%
MARTIN BROOK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
TELLER STREET: Total: 1, Poor: 0, Poor %: 0.00%
WEIDMAN STREET: Total: 1, Poor: 0, Poor %: 0.00%
SERAFEN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94033186: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94033205: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94033225: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94033234: Total: 1, Poor: 0, Poor %: 0.00%
7   7 94033255: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I94063198: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I94063208: Total: 1, Poor: 0, Poor %: 0.00%
88I 88I94085C01: Total: 1, Poor: 0, Poor %: 0.00%
992A992A94011001: Total: 1, Poor: 0, Poor %: 0.00%
992A992A94011002: Total: 1, Poor: 0, Poor %: 0.00%
992A 992A94085B01: Total: 1, Poor: 0, Poor %: 0.00%
BROOKER HOLLOW ROAD: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY RD 39: Total: 1, Poor: 0, Poor %: 0.00%
FACTORY HILL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
MOWERS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
6   6 84041121: Total: 1, Poor: 1, Poor %: 100.00%
6   6 84041130: Total: 1, Poor: 0, Poor %: 0.00%
6   6 84041066: Total: 1, Poor: 0, Poor %: 0.00%
6   6 84041091: Total: 1, Poor: 0, Poor %: 0.00%
CROTN FL RD CR 34: Total: 1, Poor: 0, Poor %: 0.00%
FAIR ST: Total: 1, Poor: 0, Poor %: 0.00%
STILLWATER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
W SHORE DR: Total: 1, Poor: 0, Poor %: 0.00%
LUNN TERRACE: Total: 1, Poor: 1, Poor %: 100.00%
301 301 84011087: Total: 1, Poor: 0, Poor %: 0.00%
301 301 84011129: Total: 1, Poor: 0, Poor %: 0.00%
301 301 8401153: Total: 1, Poor: 0, Poor %: 0.00%
311 311 84011008: Total: 1, Poor: 0, Poor %: 0.00%
84I 84I84031028: Total: 1, Poor: 0, Poor %: 0.00%
84IMM  58.84: Total: 1, Poor: 0, Poor %: 0.00%
DIXON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
FARMER MILLS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LUDINGTON CT: Total: 1, Poor: 1, Poor %: 100.00%
LUDINGTONVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
TOWNERS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
22  22 82051115: Total: 1, Poor: 0, Poor %: 0.00%
311 311 84011057: Total: 1, Poor: 0, Poor %: 0.00%
84IMM  62.46: Total: 1, Poor: 0, Poor %: 0.00%
84IMM  62.48: Total: 1, Poor: 0, Poor %: 0.00%
BRIMSTONE ROAD: Total: 1, Poor: 1, Poor %: 100.00%
CORNWALL HILL RD: Total: 1, Poor: 0, Poor %: 0.00%
EAST BRANCH ROAD: Total: 1, Poor: 0, Poor %: 0.00%
HAVLND HOLLOW RD: Total: 1, Poor: 0, Poor %: 0.00%
MOONEY HILL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
301 301 84011033: Total: 1, Poor: 0, Poor %: 0.00%
301 301 84011036: Total: 1, Poor: 0, Poor %: 0.00%
9   9 84041046: Total: 1, Poor: 0, Poor %: 0.00%
9   9 84041118: Total: 1, Poor: 1, Poor %: 100.00%
9D  9D84021065: Total: 1, Poor: 0, Poor %: 0.00%
9D  9D84021079: Total: 1, Poor: 0, Poor %: 0.00%
EAST MOUNTAIN ROAD NORTH: Total: 1, Poor: 0, Poor %: 0.00%
E MOUNTAIN RD S: Total: 1, Poor: 0, Poor %: 0.00%
OLD ALBANY POST ROAD: Total: 1, Poor: 0, Poor %: 0.00%
ROUTE 9D: Total: 1, Poor: 0, Poor %: 0.00%
SPROUT BROOK ROAD: Total: 1, Poor: 1, Poor %: 100.00%
UPPER GARRISON STREET: Total: 1, Poor: 0, Poor %: 0.00%
CANOPUS HOLLOW RD: Total: 1, Poor: 0, Poor %: 0.00%
CHURCH ROAD CR 22: Total: 1, Poor: 0, Poor %: 0.00%
CIMARRON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
HORTON HOLLOW ROAD: Total: 1, Poor: 1, Poor %: 100.00%
OSCAWANNA LAKE RD: Total: 1, Poor: 1, Poor %: 100.00%
PEEKSKILL HOLLOW: Total: 1, Poor: 0, Poor %: 0.00%
PEEKSKILL HOLLOW ROAD: Total: 1, Poor: 1, Poor %: 100.00%
22  22 84041050: Total: 1, Poor: 0, Poor %: 0.00%
312 312 84011011: Total: 1, Poor: 0, Poor %: 0.00%
312 312 84011022: Total: 1, Poor: 0, Poor %: 0.00%
6   6 84041097: Total: 1, Poor: 0, Poor %: 0.00%
84I 84I84031090: Total: 1, Poor: 0, Poor %: 0.00%
84I 84I84031091: Total: 1, Poor: 0, Poor %: 0.00%
84I 84I84203H01: Total: 1, Poor: 0, Poor %: 0.00%
DOANSBRG RD CR 65: Total: 1, Poor: 1, Poor %: 100.00%
LOWER MINE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MILLTOWN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PROSPECT HILL RD: Total: 1, Poor: 0, Poor %: 0.00%
RAMP G OF I84: Total: 1, Poor: 0, Poor %: 0.00%
SODOM ROAD: Total: 1, Poor: 0, Poor %: 0.00%
STARR RIDGE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
TONETTA LAKE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
101ST AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
109TH AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
130TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
133RD AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
149TH PLACE: Total: 1, Poor: 0, Poor %: 0.00%
150TH ST: Total: 1, Poor: 0, Poor %: 0.00%
160 TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
164TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
164TH  STREET: Total: 1, Poor: 0, Poor %: 0.00%
168TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
20TH AVE: Total: 1, Poor: 0, Poor %: 0.00%
21ST STREET: Total: 1, Poor: 0, Poor %: 0.00%
221ST STREET: Total: 1, Poor: 0, Poor %: 0.00%
225TH ST: Total: 1, Poor: 0, Poor %: 0.00%
24  2403031000: Total: 1, Poor: 1, Poor %: 100.00%
25: Total: 1, Poor: 0, Poor %: 0.00%
25  25 03031003: Total: 1, Poor: 0, Poor %: 0.00%
25  25 05021009: Total: 1, Poor: 0, Poor %: 0.00%
25A 25A05011109: Total: 1, Poor: 0, Poor %: 0.00%
25AX WB: Total: 1, Poor: 0, Poor %: 0.00%
25AX(WB) TO I678: Total: 1, Poor: 0, Poor %: 0.00%
25AXW FROM 907MXW: Total: 1, Poor: 0, Poor %: 0.00%
25AX W TO 678IX S: Total: 1, Poor: 0, Poor %: 0.00%
25BX: Total: 1, Poor: 0, Poor %: 0.00%
25  X: Total: 1, Poor: 0, Poor %: 0.00%
26TH AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
278I278I04041016: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX5M13007: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX5M33006: Total: 1, Poor: 0, Poor %: 0.00%
278I 278IX5M33028: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX5M33029: Total: 1, Poor: 0, Poor %: 0.00%
278I 278IX5M33032: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX5M33040: Total: 1, Poor: 0, Poor %: 0.00%
278I 278IX5M33127: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX5M33131: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX5M34016: Total: 1, Poor: 0, Poor %: 0.00%
278I 278IX5M34034: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX5M34131: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX5M63000: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX5M63002: Total: 1, Poor: 0, Poor %: 0.00%
278I 278IX5M63003: Total: 1, Poor: 0, Poor %: 0.00%
278I 278IX5M64003: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX5MR01E2: Total: 1, Poor: 0, Poor %: 0.00%
278I 278IX5MR02F1: Total: 1, Poor: 0, Poor %: 0.00%
278 IX Bronx to Manhattan Ramp: Total: 1, Poor: 0, Poor %: 0.00%
27 X: Total: 1, Poor: 0, Poor %: 0.00%
295I295IX5M11009: Total: 1, Poor: 0, Poor %: 0.00%
295I 295IX5M11012: Total: 1, Poor: 0, Poor %: 0.00%
295I295IX5M12010: Total: 1, Poor: 0, Poor %: 0.00%
295I295IX5MR01F2: Total: 1, Poor: 0, Poor %: 0.00%
295I295IX5MR04A1: Total: 1, Poor: 0, Poor %: 0.00%
295I295IX5MR04B1: Total: 1, Poor: 0, Poor %: 0.00%
295I295IX5MR04F1: Total: 1, Poor: 0, Poor %: 0.00%
295I295IX5MR15D1: Total: 1, Poor: 0, Poor %: 0.00%
31ST AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
31ST STREET: Total: 1, Poor: 0, Poor %: 0.00%
32ND AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
32ND STREET: Total: 1, Poor: 0, Poor %: 0.00%
35TH AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
35TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
37TH AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
37TH ST: Total: 1, Poor: 0, Poor %: 0.00%
39TH AVE: Total: 1, Poor: 0, Poor %: 0.00%
39TH STREET(N.BR): Total: 1, Poor: 0, Poor %: 0.00%
39TH STREET S BRG: Total: 1, Poor: 0, Poor %: 0.00%
43RD AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
44TH AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
44TH ST: Total: 1, Poor: 0, Poor %: 0.00%
45TH AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
47TH ST: Total: 1, Poor: 0, Poor %: 0.00%
48TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5C13012: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5C13A03: Total: 1, Poor: 0, Poor %: 0.00%
495I 495IX5C13B07: Total: 1, Poor: 0, Poor %: 0.00%
495I 495IX5C13B09: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5C14007: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5C14404: Total: 1, Poor: 0, Poor %: 0.00%
495I 495IX5C14A0: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5C14B02: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5C14B06: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5C14B12: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5C14B14: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5C14B15: Total: 1, Poor: 0, Poor %: 0.00%
495I 495IX5M13000: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M13024: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M13025: Total: 1, Poor: 1, Poor %: 100.00%
495I 495IX5M13033: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M13043: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M13044: Total: 1, Poor: 0, Poor %: 0.00%
495I 495IX5M13054: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M13063: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M13067: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M13072: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M13096: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M13108: Total: 1, Poor: 1, Poor %: 100.00%
495I495IX5M13124: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M13137: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M14022: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M14023: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5M14046: Total: 1, Poor: 0, Poor %: 0.00%
495I 495IX5MR03D3: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5MR04C1: Total: 1, Poor: 0, Poor %: 0.00%
495I 495IX5MR05C2: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5MR05C3: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5MR05G3: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5MR05H4: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5MR1042: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5MR10C1: Total: 1, Poor: 0, Poor %: 0.00%
495I495IX5MR10D1: Total: 1, Poor: 0, Poor %: 0.00%
495I 495IX5MR10D3: Total: 1, Poor: 0, Poor %: 0.00%
49TH AVENUE: Total: 1, Poor: 1, Poor %: 100.00%
49TH ST: Total: 1, Poor: 0, Poor %: 0.00%
49TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
53RD AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
54TH AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
57TH AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
678I678I05011104: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5CR1AB1: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5M11001: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5M11041: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5M11058: Total: 1, Poor: 1, Poor %: 100.00%
678I678IX5M11075: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5M11081: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5M11096: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5M12034: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5M12078: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5M12082: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR01A1: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR01A4: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR08A1: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR09C1: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR11B1: Total: 1, Poor: 0, Poor %: 0.00%
678I 678IX5MR11B2: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR1211: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR12B1: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR12E1: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR12F1: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR14A1: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR14D1: Total: 1, Poor: 0, Poor %: 0.00%
678I678IX5MR17F1: Total: 1, Poor: 1, Poor %: 100.00%
678IX TO VWE SB: Total: 1, Poor: 0, Poor %: 0.00%
69TH ROAD: Total: 1, Poor: 0, Poor %: 0.00%
70TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
71ST AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
80TH ROAD: Total: 1, Poor: 0, Poor %: 0.00%
80TH ST: Total: 1, Poor: 0, Poor %: 0.00%
82ND AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
878 878 X5M3011: Total: 1, Poor: 0, Poor %: 0.00%
878I878IX5M13002: Total: 1, Poor: 0, Poor %: 0.00%
878I878IX5M13008: Total: 1, Poor: 0, Poor %: 0.00%
878I878IX5M13020: Total: 1, Poor: 0, Poor %: 0.00%
878I878IX5M13022: Total: 1, Poor: 0, Poor %: 0.00%
878IX: Total: 1, Poor: 0, Poor %: 0.00%
907A907AX5M21083: Total: 1, Poor: 0, Poor %: 0.00%
907A907AX5M21091: Total: 1, Poor: 0, Poor %: 0.00%
907A 907AX5M21168: Total: 1, Poor: 1, Poor %: 100.00%
907A 907AX5MR20B3: Total: 1, Poor: 0, Poor %: 0.00%
907A 907AX5MR20F3: Total: 1, Poor: 0, Poor %: 0.00%
907A NB TO I495EB: Total: 1, Poor: 0, Poor %: 0.00%
907C907CX5M24000: Total: 1, Poor: 0, Poor %: 0.00%
907C 907CX5M24008: Total: 1, Poor: 0, Poor %: 0.00%
907D907DX5M23045: Total: 1, Poor: 0, Poor %: 0.00%
907D907DX5M24045: Total: 1, Poor: 0, Poor %: 0.00%
907D907DX5MR03A1: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5C13D05: Total: 1, Poor: 0, Poor %: 0.00%
907M 907MX5C14D03: Total: 1, Poor: 0, Poor %: 0.00%
907M 907MX5C14D04: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5C14D06: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5M10103: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5M13080: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5M13119: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5M13121: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5M13125: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5M13130: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5M13140: Total: 1, Poor: 0, Poor %: 0.00%
907M 907MX5M14021: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5M14098: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5M14134: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5MI3114: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5MI3146: Total: 1, Poor: 0, Poor %: 0.00%
907M 907MX5MR06A1: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5MR06B1: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5MR15D2: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5MR15H1: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5MR17K1: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5MR17L1: Total: 1, Poor: 0, Poor %: 0.00%
907M907MX5MR3144: Total: 1, Poor: 0, Poor %: 0.00%
907MX: Total: 1, Poor: 0, Poor %: 0.00%
908B908BX5M23005: Total: 1, Poor: 0, Poor %: 0.00%
908B 908BX5M23024: Total: 1, Poor: 0, Poor %: 0.00%
908B908BX5M23028: Total: 1, Poor: 0, Poor %: 0.00%
908B908BX5M23029: Total: 1, Poor: 0, Poor %: 0.00%
908B908BX5M23033: Total: 1, Poor: 0, Poor %: 0.00%
908B908BX5M23037: Total: 1, Poor: 0, Poor %: 0.00%
908B908BX5M23041: Total: 1, Poor: 0, Poor %: 0.00%
908B908BX5M24015: Total: 1, Poor: 0, Poor %: 0.00%
908B908BX5M24021: Total: 1, Poor: 0, Poor %: 0.00%
908B 908BX5M24030: Total: 1, Poor: 0, Poor %: 0.00%
908B908BX5M24042: Total: 1, Poor: 0, Poor %: 0.00%
908B 908BX5MR3046: Total: 1, Poor: 0, Poor %: 0.00%
91ST PLACE: Total: 1, Poor: 0, Poor %: 0.00%
94 AVE & ATLANTIC: Total: 1, Poor: 0, Poor %: 0.00%
94TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
AJO OVERPASS: Total: 1, Poor: 0, Poor %: 0.00%
ANDREWS AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
AQUEDUCT PRV ROAD: Total: 1, Poor: 0, Poor %: 0.00%
AQUEDUCT R T RAMP: Total: 1, Poor: 0, Poor %: 0.00%
Astoria Blvd WB: Total: 1, Poor: 0, Poor %: 0.00%
ASTORIA BLVD WB: Total: 1, Poor: 0, Poor %: 0.00%
AT 49TH AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
BEACH CHAN DR WB: Total: 1, Poor: 0, Poor %: 0.00%
BELL BLVD: Total: 1, Poor: 1, Poor %: 100.00%
BELL BOULEVARD: Total: 1, Poor: 0, Poor %: 0.00%
BLDG 59 DEPT RAMP: Total: 1, Poor: 0, Poor %: 0.00%
BORDEN AVE BRIDGE: Total: 1, Poor: 0, Poor %: 0.00%
BOWNE ST: Total: 1, Poor: 0, Poor %: 0.00%
